,In,Out,Savings
0,5,5,1
1,5,1,4
2,5,5,1
3,5,1,4
4,6,1,5
5,5,1,4
6,5,2,3
7,5,1,4
8,5,5,1
9,5,1,4
10,5,2,3
11,5,1,4
12,5,5,1
13,5,1,4
14,5,5,1
15,5,1,4
16,5,6,5
17,5,1,4
18,5,2,3
19,5,1,4
20,5,5,1
21,5,1,4
22,5,2,3
23,5,1,4
24,5,5,1
25,5,1,4
26,5,6,5
27,5,1,4
28,5,2,3
29,5,1,4
30,5,5,1
31,5,1,4
32,5,2,3
33,5,1,4
34,5,5,1
35,5,1,4
36,5,6,5
37,5,1,4
38,5,2,3
39,5,1,4
40,5,5,1
41,5,1,4
42,5,2,3
43,5,1,4
44,5,5,1
45,5,1,4
46,5,6,5
47,5,1,4
48,5,2,3
49,5,1,4
50,5,5,1
51,5,1,4
52,5,2,3
53,5,1,4
54,5,5,1
55,5,1,4
56,5,6,5
57,5,1,4
58,5,2,3
59,5,1,4
60,5,5,1
61,5,1,4
62,5,2,3
63,5,1,4
64,5,5,1
65,5,1,4
66,5,6,5
67,5,1,4
68,5,2,3
69,5,1,4
70,5,5,1
71,5,1,4
72,5,2,3
73,5,1,
